GEOID,hispanic,total,h_share
29017,14622,168788,0.086629
29018,3349,177531,0.018864
29019,6712,184043,0.03647
29020,5735,179086,0.032024
29021,8148,184299,0.044211
29022,4372,181467,0.024093
29023,6767,177580,0.038107
29024,4262,182548,0.023347
29025,5325,179313,0.029697
29026,3808,181782,0.020948
29027,4374,177675,0.024618
29028,7592,185647,0.040895
29029,12344,185881,0.066408
29030,8087,178648,0.045268
29031,8419,178331,0.04721
29032,14129,181807,0.077714
29033,6245,179927,0.034709
29034,12620,182551,0.069131
28001,3064,54937,0.055773
28002,2879,52747,0.054581
28003,3431,59586,0.057581
28004,2245,56486,0.039744
28005,1402,59115,0.023716
28006,1854,64201,0.028878
28007,1102,49887,0.02209
28008,2678,59612,0.044924
28009,1244,50608,0.024581
28010,2414,67838,0.035585
28011,1890,54115,0.034926
28012,1012,54115,0.018701
28013,1180,53842,0.021916
28014,412,50518,0.008156
28015,926,47905,0.01933
28016,540,59278,0.00911
28017,1295,56299,0.023002
28018,1106,54273,0.020378
28019,2380,60122,0.039586
28020,1385,53825,0.025732
28021,1199,60653,0.019768
28022,1720,52314,0.032878
28023,980,54333,0.018037
28024,840,56692,0.014817
28025,920,54712,0.016815
28026,2005,53657,0.037367
28027,1049,61822,0.016968
28028,837,57494,0.014558
28029,769,50342,0.015276
28030,2001,59497,0.033632
28031,3764,54971,0.068472
28032,846,53175,0.01591
28033,1310,54601,0.023992
28034,1794,52849,0.033946
28035,1099,56980,0.019287
28036,953,56771,0.016787
28037,2410,60527,0.039817
28038,1613,57312,0.028144
28039,723,58097,0.012445
28040,2006,59436,0.033751
28041,1257,60349,0.020829
28042,2424,60306,0.040195
28043,1681,56024,0.030005
